# DM decay power constrained results vs mass 
# JWST NIRSPEC run {run_name}
# lambda0 [micron]    g_a\gamma\gamma [GeV^-1] (for vanilla axion)    pc used
2.551380195407040308e+00 nan nan 0.000000000000000000e+00
2.547237708078795126e+00 nan nan 0.000000000000000000e+00
2.543105761207050453e+00 nan nan 0.000000000000000000e+00
2.538984312961463985e+00 nan nan 0.000000000000000000e+00
2.534873321737982632e+00 nan nan 0.000000000000000000e+00
2.530772746157315733e+00 nan nan 0.000000000000000000e+00
2.526682545063419383e+00 nan nan 0.000000000000000000e+00
2.522602677521992298e+00 nan nan 0.000000000000000000e+00
2.518533102818986791e+00 nan nan 0.000000000000000000e+00
2.514473780459128616e+00 nan nan 0.000000000000000000e+00
2.510424670164450145e+00 nan nan 0.000000000000000000e+00
2.506385731872834199e+00 nan nan 0.000000000000000000e+00
2.502356925736572535e+00 1.097576399417580005e-25 3.044681480901493616e-11 0.000000000000000000e+00
2.498338212120931878e+00 9.278512754530222314e-26 2.806148874538938200e-11 0.000000000000000000e+00
2.494329551602734174e+00 8.787962112657850203e-26 2.737547787392877968e-11 0.000000000000000000e+00
2.490330904968947490e+00 8.000061652681145734e-26 2.618239972196164791e-11 0.000000000000000000e+00
2.486342233215286246e+00 6.130003924922125863e-26 2.297404064222462552e-11 0.000000000000000000e+00
2.482363497544826547e+00 3.476998679191327642e-26 1.734413189115485332e-11 0.000000000000000000e+00
2.478394659366629060e+00 2.677298814991685108e-26 1.525601458591348976e-11 1.000000000000000000e+00
2.474435680294374329e+00 3.706223265450355206e-26 1.799284770990232765e-11 1.000000000000000000e+00
2.470486522145007857e+00 2.129416608427262363e-26 1.367114703931657412e-11 1.000000000000000000e+00
2.466547146937398516e+00 2.999337849625305724e-26 1.626398373901785065e-11 1.000000000000000000e+00
2.462617516891003611e+00 4.074531634145053704e-26 1.900166992224299017e-11 1.000000000000000000e+00
2.458697594424547717e+00 2.707878089998492095e-26 1.552763268068888425e-11 1.000000000000000000e+00
2.454787342154710394e+00 3.458540046000145946e-26 1.759032893446099702e-11 0.000000000000000000e+00
2.450886722894825009e+00 5.881339486203867454e-26 2.299331742740642768e-11 0.000000000000000000e+00
2.446995699653588208e+00 8.828629443569168827e-26 2.823873282906375295e-11 0.000000000000000000e+00
2.443114235633776499e+00 1.014044253948216441e-25 3.033619882389749835e-11 0.000000000000000000e+00
2.439242294230977048e+00 8.753047821967975039e-26 2.825176644354041054e-11 0.000000000000000000e+00
